id,source,original_text,original_word_count,summary,summary_word_count
11,Web Scrape,"This baeckea was first formally described in 1867 by George Bentham who gave it the name Baeckea gunniana var. latifolia in Flora Australiensis from specimens collected by Ferdinand von Mueller in ""Baw-Baw Mountains. In 1997, Anthony Bean raised the variety to species status as Baeckea latifolia in the journal Telopea. The specific epithet (latifolia) means ""broad-leaved"". Baeckea latifolia grows in the edges of snow gum woodlands and in grassland at altitudes above 1,300 m (4,300 ft) in eastern Victoria and southern New South Wales. Herbert Arthur ""Bert"" Dargue (November 17, 1886 – December 12, 1941) was a career officer in the United States Army, reaching the rank of major general in the Army Air Forces. He was a pioneer military aviator and one of the first ten recipients of the Distinguished Flying Cross.",133,baeckea gunniana var. latifolia was first described in 1867. the species is a specific epithet.,15
12,Web Scrape,"Dargue was born in Brooklyn, New York in 1886. Raised in Boonton, New Jersey, he graduated in 1905 from Boonton High School, which inducted him in 1996 into its inaugural hall of fame. He entered the United States Military Academy on June 15, 1907. He graduated on June 13, 1911, and was commissioned a 2nd lieutenant in the Coast Artillery Corps. In March 1913, while stationed in the Philippines, he was trained to fly by 1st Lt. Frank Purdy Lahm, and was detailed to the Aviation Section, U.S. Signal Corps on July 23, 1914, as the sole rated pilot in the Philippines. On December 16, 1914, he flew a Burgess Model I seaplane with 1st Lt. Joseph O. Mauborgne of the Signal Corps as his radio operator, making the first two-way communication by radio telegraphy between a ground station and an airplane in flight. The next month he crashed.",149,"dargue was born in Brooklyn, New york, in 1886. he graduated in 1905 from Boonton high school. he was commissioned a 2nd lieutenant in the Coast Artillery Corps.",28
13,Web Scrape,"In 1926 he aided in drafting the legislation that became the Air Corps Act, which led to the establishment of the United States Army Air Corps. From December 21, 1926, to May 2, 1927, Dargue led the U.S. Army Pan American Flight, a public relations goodwill mission to promote U.S. aviation in South America. Flying five Loening OA-1A seaplanes, each named for an American city, Dargue, Capt. Ira Clarence Eaker, and eight other Army aviators traveled 22,000 miles (35,200 km) in 59 flight days, stopping at 72 cities along the route. The ten airmen, two of whom died in an accident on February 26, 1927, during the mission, were awarded certificates for first awards of the newly created Distinguished Flying Cross.",121,"the ten airmen, two of whom died in an accident, were awarded certificates for first awards of the newly created Distinguished Flying Cross. the ten airmen, each named for an American city, traveled 22,000 miles in 59 flight days.",39
14,Web Scrape,"In 1934, he became the assistant commander of the Air Corps Tactical School. From 1938 to 1940, he commanded the 19th Composite Wing in the Panama Canal Zone. He returned to the United States in 1940 to become Assistant Chief of the Army Air Corps. The following year, he took command of the First Air Force. In the aftermath of the attack on Pearl Harbor, Henry Stimson chose Dargue to lead the investigation of why the United States had been unprepared for the attack, and placed him in command of the United States Army units there. However, while flying from Mitchel Field to Hawaii to take his new post, he was killed when his Douglas B-18 Bolo crashed in the Sierra Nevada mountains, outside Bishop, California. The wreckage of the plane was not found for five months. Dargue was the first Army General to die on duty during World.",149,"in 1934, he became assistant commander of the Air Corps Tactical School. he returned to the united states in 1940 to become assistant chief of the Army Air Corps. he was killed when his Douglas B-18 Bolo crashed in the Sierra Nevada mountains.",43
15,Web Scrape,"He was posthumously decorated with the Distinguished Service Medal in 1942. For his dedication to aviation he was inducted into the National Aviation Hall of Fame in 1997. Dargue's son Donald was also a military aviator, piloting a B-17 bomber over Germany and eventually becoming part of Strategic Air Command; similarly, his grandson Herb Dargue flew helicopters for the United States Army during the Vietnam War and the Iraq War. Deus Ex: Human Revolution is an action role-playing game developed by Eidos-Montréal and published by Square Enix. The game is a prequel to the original Deus Ex (2000) and the third installment in the Deus Ex series. The gameplay combines first-person shooter, stealth, and role-playing elements. It features exploration and combat in environments connected to multiple city-based hubs, in addition to quests that grant experience and allow customization of the main character's abilities with items called Praxis Kits. Set.",149,deus ex: human revolution is an action role-playing game. it features exploration and combat in environments connected to multiple city-based hubs.,21
16,Web Scrape,"Development of Human Revolution began in 2007 with a small team within the fledgling Eidos-Montréal studio after failed attempts to create a sequel at original developer Ion Storm following Deus Ex: Invisible War (2003). The two key influences were the myth of Icarus, a thematic element carried over from Deus Ex, and the artwork and ideas of the Renaissance, which influenced the story, graphics, and music while combining with the series' typical cyberpunk elements. The open-ended gameplay was tricky for the team to achieve; the boss battles were outsourced to another developer due to time constraints. The music, composed by Michael McCann, focused on ambience and three-layered compositions over character themes and overt melodies. Human Revolution was announced in 2007, soon after its beginning development. Its title and release window were announced in 2010.",134,development of human revolution began in 2007 with a small team within the fledgling Eidos-Montréal studio. the team failed to create a sequel at original developer Ion Storm following deus Ex: Invisible War . the music focused on ambience and three-layered compositions over character themes and overt melodies.,48
17,Web Scrape,"Human Revolution was released for PlayStation 3, Windows, and Xbox 360 in August 2011. The game received critical acclaim for its player-driven plot, gameplay, and freedom of choice in the story and character customization. The major criticisms went to its boss fights and technical problems. The director's cut was praised for its revamped gameplay. By November 2011, the original version had sold 2.18 million units. After release, a downloadable episode, The Missing Link, was developed, featuring gameplay improvements. A director's cut, featuring further improvements and additional content, was released in October 2013 for the original platforms and Wii U. The game was followed up with a spin-off, The Fall in 2013, and a direct sequel, Mankind Divided in 2016. Deus Ex: Human Revolution is an action role-playing game incorporating first-person shooter and stealth mechanics. Players take the role of Adam Jensen, a man equipped with mechanical cybernetic implants called augmentations.",150,"the director is cut was praised for its revamped gameplay. by November 2011, the original version had sold 2.18 million units.",21
18,Web Scrape,"There are various ways to approach the game's situations: players can use a violent approach and shoot their way through environments while using cover to hide from enemy fire. Alternatively, Adam can take a stealthy approach, avoiding/knocking out guards and security devices and using cover to avoid enemy sight lines. Adam can move between cover elements and around corners while staying hidden. The melee takedown system offers lethal and non-lethal options, in addition to an assortment of lethal and non-lethal weapons. Adam can also move the bodies of enemies into hiding places, preventing them from being seen and raising an alarm. A crucial part of Adam's abilities are augmentations, which can be acquired and upgraded using Praxis Kits either bought from particular vendors, found in the game environments, or are automatically unlocked by leveling up: higher-level augmentations require more Praxis Kits to unlock. Augmentation functions can range from passive.",149,players can use a violent approach and shoot their way through environments. a stealthy approach can be used to avoid enemy sight lines. the melee takedown system offers lethal and non-lethal options.,32
19,Web Scrape,"At multiple points within the game, Adam partakes in conversations with NPCs related to main and side quests. When talking, Adam is presented with three different conversation options that affect the outcome of conversations: choosing the right option can help with completing objectives while choosing the wrong option closes off that route and forces the player to find an alternate solution. A ""Social"" augmentation enables better reading of an NPC's expression and judging their psychological profile, improving chances of selecting the correct dialogue option. While in the game's environments, Adam finds terminals and computers that can be accessed with a password or through hacking. When hacking, the hacking screen is summoned, which shows the pathway through a device's security system to access the information: the pathway is accessed by opening ""directory"" nodes to reach the registry. Different nodes have different ratings, affecting how easily they can be accessed. Various.",149,Adam partakes in conversations with NPCs related to main and side quests. choosing the right option can help with completing objectives while choosing the wrong option closes off that route. a Social augmentation enables better reading of an NPC is expression and judging their psychological profile.,46
20,Web Scrape,"Human Revolution takes place in the year 2027, 25 years prior to the original Deus Ex. The Deus Ex series is set in a cyberpunk future rife with secret organizations and conspiracies: among these forces is the Illuminati. Leading up to Human Revolution, there have been marked improvements in human society, with people actively fighting global warming, finding cures for various diseases, and improving green energy. Alongside this, global megacorporations have come to eclipse government authority in power and influence, while private military forces dwarf the sanctioned armies of First World countries. Advances in biotechnology and cybernetics have led to the development of ""augmentations"", advanced artificial organs capable of significantly improving and enhancing the human body's performance. The development of augmentation technology has triggered a new social divide: those with augmentations become the world's new upper-class citizenry and are touted as the future of humanity, while normal humans form.",149,the deus Ex series is set in a cyberpunk future rife with secret organizations and conspiracies. the deus ex series is set in a cyberpunk future rife with secret organizations and conspiracies. the development of augmentations has triggered a new social divide.,42
21,Web Scrape,"The main protagonist is Adam Jensen: coming from a humble background in Detroit, he worked as a leader with the local SWAT squad until he refused to follow a questionable order and was turfed out. After this, he is taken on as a security manager at Sarif Industries, a local company at the leading edge of augmentation technology. A fellow at the company is Megan Reed, a researcher for Sarif and Adam's ex-girlfriend. His employer is company CEO David Sarif, who is instrumental in saving Adam after he was left near-dead at the beginning of the game. Adam meets many key characters during his missions between Detroit, Montreal, and the new Shanghai metropolis of Hengsha. These include Sarif's chief pilot Faridah Malik; Sarif systems engineer Frank Pritchard; Eliza Cassan, a media personality and public face of Picus Communications; William Taggart, founder of the anti-augmentation group Humanity Front; Hugh Darrow.",149,"Adam is a security manager at the company at the leading edge of augmentation technology. he is a researcher for the company is ex-girlfriend, megan Reed. his employer is company CEO David Sarif, who is instrumental in saving Adam.",39
22,Web Scrape,"Note: While the general plot of Human Revolution follows a distinct path, many elements are subject to the player's decisions. The game also offers several subplots that the player may or may not encounter, depending on their actions within the game. This synopsis concentrates on the main, unavoidable plot thread of the game. On the eve of unveiling a way to end Neuropozyne dependence for augmentations, Sarif Industries is attacked by a group of augmented terrorists, the Tyrants. Megan Reed and many other scientists are presumed dead in the attack, and Jensen is grievously wounded. Sarif saves Jensen by giving him advanced augmentations. Six months later, Jensen is summoned to deal with another terrorist attack by anti-augmentation radicals. Jensen finds an augmented terrorist trying to steal information, but is remotely killed before Jensen can capture him. Pritchard tracks the hacking signal to an abandoned factory in Highland Park. Jensen.",149,"the game offers several subplots that the player may or may not encounter. the synopsis concentrates on the main, unavoidable plot thread of the game.",25
23,Web Scrape,"In Hengsha, Jensen finds the original hacker Arie van Bruggen, who is being hunted by private security company Belltower Associates and hidden by local triad leader Tong Si Hung. Van Bruggen directs Adam to Tai Yong Medical, the world's largest augmentation technology manufacturer and Sarif's main rival. Infiltrating Tai Yong, Jensen finds evidence confirming the involvement of Zhao Yun Ru and Eliza Cassan with the Tyrants, along with the fact that Megan and the other scientists are alive. When confronted, Zhao reveals that is allied to an organization controlling global interests Jensen must escape. He then locates Eliza in Montreal, revealed to be an artificial intelligence construct designed to influence the media. Having started questioning her role, she decides to help Adam after he defeats her controller, the Tyrant Fedorova. Eliza provides evidence implicating Isaias Sandoval, an aide to William Taggart.",141,"arie van Bruggen is being hunted by private security company Belltower Associates. he directs Adam to the company is biggest augmentation technology manufacturer. he then locates Eliza in Montreal, revealed to be an artificial intelligence construct.",36
24,Web Scrape,"Back in Detroit, Sarif admits the Illuminati are behind the conspiracy, seeking to stop Sarif's advancements and preserve their power. Jensen infiltrates a Humanity Front rally and discovers Sandoval's location. Sandoval admits his involvement in the kidnapping and gives Jensen a lead to find the researchers. Jensen also encounters Hugh Darrow, who is working to stave off global warming with the Panchaea Facility in the Arctic. Returning to Hengsha in pursuit of one of the kidnapped scientist's tracking beacons, Jensen is ambushed by Belltower. He and other augmented people also begin experiencing glitches in their augmentation biochips. The beacon leads to Tong Si Hung, who now has the now-deceased Sarif Industries scientist's arm. With Tong's help, Jensen stows away in a stasis pod, waking up in a secret Singapore base days later.",132,"augmented people begin experiencing glitches in their biochips. tong si Hung, who has now been abducted, wakes up in a secret base.",22
25,Web Scrape,"Jensen, while coordinating with the scientists to escape, learns that the biochip malfunctions were staged to distribute a new biochip to control augmented humans. Jensen and the scientists stage a distraction, allowing him to infiltrate the facility's secret bunker. Defeating Namir, he confronts Megan about her actions, and she admits her research was based on Jensen's DNA. She was kidnapped for it, and reveals Darrow is also working with the Illuminati for his own ends. Moments later, Darrow broadcasts a modified signal that throws any augmented person with the new biochip into a murderous frenzy. Jensen evacuates the scientists and commandeers an orbital flight module to reach Panchaea. A confronted Darrow reveals that he wants humanity to abandon augmentation technology, believing it will destroy human identity. Jensen goes to shut down the signal at Panchaea's Hyron Project supercomputer, and on the way can find Taggart and Sarif, who want.",149,augmented humans were able to infiltrate the facility is secret bunker. the biochip malfunctions were staged to distribute a new biochip. a confronted scientist reveals that he wants humanity to abandon augmentation technology.,33
26,Web Scrape,"At the heart of Panchaea, Jensen fights Zhao Yun Ru, who tries to hijack the signal, and is then contacted by Eliza. Depending on whom he met, Jensen is offered up to four choices. Either broadcast the truth and distance humanity from augmentations; rig the broadcast so it blames Humanity Front and allows unrestricted augmentation development; send out a report to benefit the Illuminati's aims; or destroy Panchea, leaving no one to ""spin the story"". In a post-credits scene, Megan meets with Bob Page to discuss her employment in ""the nanite virus chimera"" and ""D project"": prior to this, Page instructs his cohort Morgan Everett to search the Hyron Project for salvageable technology for the 'Morpheus Initiative', setting up Deus Ex.",121,Jensen is offered up to four choices. he is contacted by Eliza. he is offered a choice.,17
27,Web Scrape,"The original Deus Ex and its sequel Invisible War were developed by Ion Storm, with varying involvement of series creator and studio co-founder Warren Spector and designer Harvey Smith. After the release of Invisible War, multiple attempts were made to develop a sequel, even after Spector left Ion Storm. The two main projects were dubbed Deus Ex: Insurrection, which used the same engine as Invisible War while moving away from its divisive mechanics, and Deus Ex 3, which aimed to be an open-world game with a branching narrative. An aborted attempt, intended as the fourth Deus Ex project following Insurrection, led to the development of Project Snowblind. Future development on the third Deus Ex game was halted when, following further staff departure and financial difficulties, the studio's owner Eidos Interactive closed them down in 2005.",135,"the original Deus Ex and its sequel Invisible War were developed by Ion Storm. multiple attempts were made to develop a sequel, even after Spector left Ion Storm.",28
28,Web Scrape,"Concept development on Human Revolution began in early 2007, shortly after the founding of Eidos-Montréal. The team at this point was pretty small, consisting of producer David Anfossi, director Jean-François Dugas, senior designer François Lapikas, and art director Jonathan Jacques-Belletête. The early period was devoted to research before performing brainstorming sessions to create the game's basic concepts. One of the concepts established early on was that it would be an ambitious project, and they needed to bring the key staff on board as early as possible. They started with playing the first two games, determining what they liked and disliked about the original Deus Ex and how they could carry over or improve these points. An early decision was to remain faithful to the series' core values, despite Human Revolution being essentially a series reboot. When presenting their project to Eidos management, they presented multiple sheets of their concept.",149,"concept development on human revolution began in early 2007, shortly after the founding of Eidos-Montréal. the team was devoted to research before performing brainstorming sessions to create the game is basic concepts. the concept was based on the original Deus Ex and how they could carry over or improve these points.",51
29,Web Scrape,"Human Revolution was planned for consoles and Microsoft Windows systems, and Dugas insisted that the PC version would not be a port of the console versions. With this in mind, the two versions needed to be as close as possible in gameplay feel. The full motion cutscenes were created collaboratively by Eidos-Montréal, Square Enix's CGI department Visual Works, and Vancouver-based company Goldtooth Creative. Goldtooth created initial concepts based on the game; then, the animation proper was handled by Visual Works. Visual Works has been involved with the project since 2009, following the acquisition of Eidos by Square Enix. It was later stated that, despite the need to incorporate multiple story-telling methods into the game, the team felt that the cutscene creation process was turned into a multi-studio effort due to time constraints. Time limits also forced them to drop real-time cutscenes. For the engine, the team used the Crystal.",149,the full motion cutscenes were created by Eidos-Montréal and Square Enix. the team felt that the cutscene creation process was turned into a multi-studio effort due to time constraints.,29
30,Web Scrape,"Lapikas was responsible for multiple aspects of the game as lead designer, including the cover system, augmentations, conversations, hacking, combat and stealth AI, interactive objects, and general balancing. When creating the gameplay, the team settled on four pillar concepts: ""Combat"", ""Stealth"", ""Hacking"", and ""Social"". While gameplay took place primarily in first-person, a feature that had been part of the Deus Ex series since its inception, the camera switched to a third-person view during specific actions. This was because the team wanted to create a connection between players and Adam despite the risk that it might break immersion. Augmentations were designed to be customizable by players depending on playstyle, but unlike the previous two Deus Ex games, mechanical augmentations and switches to third-person view enabled the player to see their changes affect Adam's appearance.",133,the team created the game as lead designer. the game was primarily in first-person. the camera switched to a third-person view during specific actions.,24
31,Web Scrape,"For combat, multiple references were used. These included Rainbow Six: Vegas for the cover system and tactical combat; F.E.A.R. for the design of AI; BioShock for the interlinking of weapon and obstacle types; the Call of Duty series for the regenerating health system; and Resident Evil 4 for multiple aspects including the inventory system, game economy and contextual actions. Regenerating health ended up divisive among the fanbase during the game's run-up to release, despite being seen as a necessary inclusion in the modern gaming market. Combat was intended to be easy to understand and visceral, with enemy types ranging from normal humans to augmented humans to robots, all mixed and matched for different combat situations. For stealth gameplay, the team used Metal Gear Solid as a reference for the AI and alert systems and The Chronicles of Riddick: Escape from Butcher Bay for the general organic feel of stealth..",149,the team used multiple references for combat. the game was intended to be easy to understand and visceral.,18
32,Web Scrape,"The team had initially wanted to create the game's boss battles in-house around the game's similar elements of player choice, with their initial design inspired by the boss fights in Metal Gear Solid. As the development of the story and gameplay framework took priority, boss battles became less and less of a focus. It eventually reached a point when the main development team could not complete them in time for the game's release. The team contemplated cutting them, but that would have negatively impacted the story and other areas of the game's design. In the end, the development of the boss battles was outsourced to Grip Entertainment. Having been given access to the game's engine, Grip Entertainment was tasked with creating the boss battles and incorporating them into the framework of Human Revolution. For this, they needed to incorporate their technology into the system, working from Eidos' specifications while.",149,the team had initially wanted to create the game is boss battles in-house. they had been given access to the game is engine. the team had been given access to the game is engine.,34
33,Web Scrape,"The script of Human Revolution was written by Mary DeMarle, the narrative director and main writer. While she acted as chief writer, DeMarle also worked with many others throughout development so that the story could be conveyed through environments and dialogue, along with handling how player choices influenced its progression. Sheldon Pacotti, the main writer for the first two Deus Ex games, was a story consultant during early development and was contacted regularly through production to ensure that the storyline fitted adequately within the series chronology. A total of four writers worked on the game, including author James Swallow. DeMarle was brought onto the project four months into its development after it had been decided that it would be a prequel to the first game, focusing on mechanical rather than nanotechnological enhancement technology. As part of her research, DeMarle looked up multiple subjects, from speculated conspiracy theories to the.",149,"the script of human Revolution was written by Mary DeMarle, the narrative director and main writer. she worked with many others throughout development so that the story could be conveyed through environments and dialogue.",34
34,Web Scrape,"When creating the character of Adam Jensen, DeMarle wanted to give him a well-defined personality, which necessitated balancing it with the narrative's player-driven nature. One of the biggest challenges was creating the various dialogue choices, as she needed to imagine what a character would say if they were hostile when she might typically portray them as benign. Multiple layers of dialogue were created within these variances to create different atmospheres within the narrative. There was standard dialogue with minor characters, more complex dialogue with major characters in quests, and what DeMarle termed ""conversation boss fights"", dialogue tied to the gameplay where social skill could help the player reach an objective. When creating characters, the team drew inspiration from the character portrayals in the Metal Gear series. When designing the corporate side, DeMarle particularly cited the backgrounds of Howard Hughes, Richard Branson and Bill Gates as inspiration for the influential.",149,DeMarle created a character that would be hostile to the character. the team drew inspiration from the character portrayals in the metal Gear series.,24
35,Web Scrape,"The world of Human Revolution was designed to parallel the Greek myth of Icarus; in the myth, Icarus was flying with artificial wings, but flew too close to the sun and destroyed his wings, causing his fatal fall. The world's new reliance on and experimentation with augmentation technology mirrored the myth, with the game's narrative taking place at a crucial tipping point, the outcome of which would be decided by the player. The general focus on technology and its effect on human society is also tied into the game's visual themes. The development team used multiple sources as references while creating the world and scenario. The Children of Men was used to capture the setting and resultant chaotic drama; BioShock gave them a reference for handling mature themes, while the television series Rome showed how influential people's ambitions shaped history. The sense of tension between augmented and normal humans.",149,"the world of human revolution was designed to parallel the Greek myth of Icarus. in the myth, Icarus flew with artificial wings, but destroyed his wings. the game is narrative took place at a crucial tipping point.",37
36,Web Scrape,"Jonathan Jacques-Belletête acted as the game's art director, being in charge of creating its look. The two key visual themes were the Icarus myth and the artwork of the Renaissance: both were woven in on a narrative and visual level. In terms of colors, the team drew inspiration from notable Renaissance artists, including Johannes Vermeer and Rembrandt. The color scheme was dominated by black and gold: black represented the game's dystopian aspects, while gold represented humanity and hope for the future. The Renaissance styling originally permeated everything, but they ended up with crates looking like baroque furniture, so they toned it down and blended it with modern and cyberpunk elements. During development, the team coined the term ""cyber-renaissance"" to define their blending of Renaissance styling, cyberpunk elements, and the Icarus myth. An extensive amount of concept art was created for the game: while the majority was handled by artists.",149,the game is art director acted as the game is art director. the game is color scheme was dominated by black and gold. the game is artwork was woven in on a narrative and visual level.,36
37,Web Scrape,"While cyberpunk remained a core part of the game, the team were faced with the trouble that no-one really knew what cyberpunk was anymore: the most recent game and film references they had were from the early 2000s, as many works that might have been classed as cyberpunk were now being treated as science fiction. While they could easily have replicated the atmosphere of films like Blade Runner, the team wanted to create something original within the genre. Something that concerned the team was about portraying the world of Human Revolution in relation to the original Deus Ex, which chronologically took place 25 years later: while the original Deus Ex used technological elements common at the time it was made such as 4:3 aspect ratio monitors and landline telephones, Human Revolution used mobiles and wide-screen televisions. According to Jacques-Belletête, this separation was ultimately put down to the differing portrayals.",149,"cyberpunk remained a core part of the game, but no-one knew what cyberpunk was anymore. the team wanted to create something original within the genre.",25
