id,source,original_text,original_word_count,summary,summary_word_count
11,Web Scrape,"Diphthongs do not receive any special marking, they are simply juxtaposed (ai ). A short sign can be used to distinguish which element of the diphthong is the on- or off-glide (uĭ, ŭi). Vowels in hiatus can be indicated with a diaeresis when necessary (aï ). Other vowels are a with a subscript e for ; a with a subscript o for , and o̩ for or maybe . The English syllabic is ṙ̥. Word stress is marked with an acute accent on a long vowel (á) and with a grave accent on a short vowel (à). Klemp (p. 56*–58*) interprets the values of Lepsius's vowels as follows: The Lepsius letters without predictable diacritics are as follows: Other consonant sounds may be derived from these. For example, palatal (and palatalized) consonants are marked with an acute accent: ḱ , ǵ , ń , χ́ , š́ , γ́ .",149,"a short sign can be used to distinguish which element of the diphthong is the on- or off-glide other vowels are a with a subscript e for ; a with a subscript o for, and o for or maybe.",39
12,Web Scrape,"Labialized velars are written with an overdot: ġ , γ̇ , etc. (A dot on a non-velar letter, as in ṅ and ṙ in the table above, indicates a guttural articulation.) Retroflex consonants are marked with an underdot: ṭ , ḍ , ṇ , ṣ̌ , ẓ̌ , ṛ , ḷ , and ı̣ . The Semitic ""emphatic"" consonants are marked with an underline: ṯ , ḏ , s̱ , ẕ , δ̱ , ḻ . Aspiration is typically marked by h: kh , but a turned apostrophe (Greek spiritus asper) is also used: k̒ , ģ . Either convention may be used for voiceless sonorants: m̒ , ‘l . Affricates are generally written as sequences, e.g. tš for . But the single letters č , ǰ , c̀ , j̀ , ț , and d̦ are also used.",139,"retroflex consonants are marked with an underdot: , , , , , , . the semitic emphatic consonants are marked with an underdot.",23
13,Web Scrape,"Implosives are written with a macron: b̄ , d̄ , j̄ , ḡ . As with vowels, long (geminate) consonants may also be written with a macron, so this transcription can be ambiguous. Lepsius typically characterized ejective consonants as tenuis, as they are completely unaspirated, and wrote them with the Greek spiritus lenis (p’, t’, etc.), which may be the source of the modern convention for ejectives in the IPA. However, when his sources made it clear that there was some activity in the throat, he transcribed them as emphatics. When transcribing consonant letters which are pronounced the same but are etymologically distinct, as in Armenian, diacritics from the original alphabet or roman transliteration may be carried over. Similarly, unique sounds such as Czech ř may be carried over into Lepsius transcription. Lepsius used a diacritic r under t᷊ and d᷊ for some poorly-described sounds in Dravidian languages.",148,"ejective consonants are written with a macron: b, d, j. ejective consonants are completely unaspirated, and written with the Greek spiritus lenis.",22
14,Web Scrape,"Standard capitalization is used. For example, when written in all caps, γ becomes Γ (as in AFΓAN ""Afghan""). Tones are marked with acute accents and grave accents (backticks) to the right and near the top or the bottom of the corresponding vowel. The diacritic may be underlined for a lower pitch, distinguishing eight possible tones in all. Tone is not written directly, but rather needs to be established separately for each language. For example, the acute accent may indicate a high tone, a rising tone, or, in the case of Chinese, any tone called ""rising"" (上) for historical reasons. Low rising and falling tones can be distinguished from high rising and falling tones by underlining the accent mark: ⟨ma´̠, ma`̠⟩. The underline also transcribes the Chinese yin tones, under the mistaken impression that these tones are actually lower. Two additional tone marks, without any defined phonetic value, are used.",149,tones are marked with acute accents and grave accents. the diacritic may be underlined for a lower pitch. the diacritic may be underlined for a lower pitch.,27
15,Web Scrape,"""Smoke a Little Smoke"" is a song co-written and recorded by American country music singer Eric Church. It was released in June 2010 as the third and final single from his 2009 album Carolina. It was also the eighth single of Church's career to reach the top 20 on the U.S. Billboard Hot Country Songs chart after peaking at number 16. Church wrote this song with Jeff Hyde and Driver Williams. Church's record label urged him not to release the song due to its cannabis references. Karlie Justus of Engine 145 gave the song a ""thumbs-up"", saying that it ""puts Church's bravado posturing to good use."" She also praised the song's production, saying that it ""makes no attempts to temper the song’s spot-on snapshot of trying to lose one’s selfin an effort to awkwardly make the project 'country.'"" In his review of the album, Jonathan Keefe of Slant Magazine.",149,Smoke a Little Smoke is a song co-written and recorded by american country music singer Eric Church. it was released in 2010 as the third and final single from his 2009 album Carolina. it was also the eighth single of Church is career to reach the top 20 on the U.S. Billboard Hot Country Songs chart.,56
16,Web Scrape,"Church began filming the song's music video in July 2010. The video includes Church driving vintage cars at Clarksville Speedway, and includes a cameo from NASCAR driver Kasey Kahne. Of the video, Church said that he wanted to ""show something that haven't seen before."" The video was directed by Peter Zavadil. ""Smoke a Little Smoke"" first charted in mid-2009 as an album cut, spending one week at number 57 on the Hot Country Songs charts. In June 2010, it re-entered the same chart also at number 57. The song was a minor top 20. * Sales figures based on certification alone.‡ Sales+streaming figures based on certification alone. Joscelin I or Joscelyn I, also known as Joscelin of Courtenay (French: Jocelyn or Josselin; c. 1080 – August 1131) was a Frankish nobleman of the House of Courtenay who ruled as the lord of Turbessel (1101–1113), prince of Galilee (1113–1119) and.",149,the song is music video began in July 2010. the video includes Church driving vintage cars at Clarksville Speedway. the song was a minor top 20.,26
17,Web Scrape,"In 1118, King Baldwin I of Jerusalem died, and Baldwin of Bourcq stood to succeed him. Joscelin supported Baldwin and was in exchange granted the County of Edessa in 1119. As count, Joscelin commanded significant support from his Armenian subjects, and fought constant wars with his neighbouring Muslim rivals in the 1120s. He was captured by Belek Ghazi in 1122, and was joined by Baldwin in 1123. He managed to break out in the Autumn, but failed to immediately secure Baldwin's release as well. Belek's death in 1124 allowed Baldwin to be ransomed from his successor, Timurtash. Joscelin clashed with Bohemond of Antioch after his arrival in 1126, though they reconciled in 1127. Bohemond's death in 1130 saw a short crisis with his widow, Alice, which ended in Joscelin becoming regent over Bohemond's young daughter.",135,"in 1118, King Baldwin I of Jerusalem died, and Baldwin of Bourcq stood to succeed him. he was granted the County of Edessa in exchange for the county of edessa in 1119. he commanded significant support from his Armenian subjects.",40
18,Web Scrape,"A Christian coalition defeated the Muslims at Azaz, but the death of Aqsunqur al-Bursuqi led to Zengi using the succession crisis in Aleppo to become the master of Syria (including Aleppo) and Damascus by 1129, and began wars against the Crusader states, including Edessa. Joscelin began threatening Aleppo, but he was gravely injured during a siege. Joscelin marched his army to relieve the besieged fortress of Kaysun, and died soon after. He was succeeded by his son Joscelin II as ruler of the County of Edessa for nineteen years before its fall to the Zengids. During his reign, Joscelin had dealt with religious and ethnic differences in the county, including overseeing a synod in 1129, and making grants to the Hospitallers and monasteries. He was seen as a Frankish intermediary by the Muslim powers in the region.",137,"the death of aqsunqur al-Bursuqi led to Zengi using the succession crisis in Aleppo to become the master of Syria. he began wars against the Crusader states, including the edessa.",30
19,Web Scrape,"Joscelin was from the Gâtinais, the second son of Joscelin I of Courtenay and Elizabeth, daughter of Guy I of Montlhéry. Joscelin's elder brother, Miles, became the lord of Courtenay, while his other brother, Geoffrey Charpalu, died six years after him in the Levant. Nothing is known of Joscelin's birth or early years. The historian Robert Nicholson suggests Joscelin had reached military age by 1101 and may have been twenty years old. His grandfather was Guy I of Montlhéry, whose descendants were powerful in the Crusader States and occupied a number of offices. This tied Joscelin, through kinship, to the lords of Bourcq, the lords of Le Puiset, and others. The Franks had been triumphant after the First Crusade, but their position remained insecure. Fulcher of Chartres believed that the Franks did not have enough men to defend Jerusalem from a Saracen invasion. Energy for crusading remained intense, and.",149,"the historian suggests Joscelin had reached military age by 1101. his grandfather was Guy I of Montlhéry, whose descendants were powerful in the Crusader States.",25
20,Web Scrape,"Stephen met with Raymond IV of Toulouse at Constantinople. Stephen, Raymond, and the Greek emperor, Alexios I Komnenos, agreed that they should travel to the Holy Land, re-opening the path through Anatolia along the way. The Lombards instead chose to travel into Pontus to liberate Bohemond I of Antioch, who had been captured at the Battle of Melitene. Unwilling to split the host, the others went with them. The crusaders rapidly captured Ankara, but afterwards were deprived of water and food by the scorched earth efforts of Kilij Arslan. They attempted to march north to seize Kastamuni, but on the way were attacked and suffered heavy losses, causing the army to turn back east. On the way, they were attacked at the Battle of Mersivan over the course of multiple days. A contingent under Conrad, constable of Henry IV of Germany, was the first to be caught out in.",149,"the emperor and the emperor agreed to travel to the Holy Land. they chose to travel into Pontus to liberate the host of the crusaders. the crusaders quickly captured Ankara, but afterwards were deprived of water and food.",38
21,Web Scrape,"The crusaders had been annihilated, and four-fifths may have become casualties. The remnants of the army made their way to Antioch by 31 March 1102. Joscelin's fortunes were damaged heavily by the crusade, and when he arrived in the Levant, he had no patrimony and few resources. He doesn't seem to have played an important part in the crusade, and he was looked over by Alexios. Runciman describes him as the ""younger and penniless son of the lord of Courtenay"". After his arrival, Joscelin entered first into the service of his cousin Count Baldwin II of Edessa, who invested him with the lordship of Turbessel in 1102. His lordship, which probably took up a third of the county, included Cyrrhus, Duluk, and Aintab. Joscelin, alongside Bohemond I of Antioch, then attacked the environs of Aleppo and seized Muslimiye in 1103, some distance north. From 1103 to 1104, Joscelin attacked.",149,"the crusaders were annihilated by the army by 31 March 1102. he was looked over by Alexios, who looked over him. he was the younger and penniless son of the lord of Courtenay.",33
22,Web Scrape,"In May of 1104, Baldwin suffered an invasion from Sökmen, the ruler of Mardin and Jikirmish, the atabeg of Mosul. After sending for aid, Baldwin was joined by Joscelin, Bohemond, and Tancred of Galilee. The four leaders moved to attack harran, but they were lured out by a feigned retreat and ambushed. The Edessene portion routed, with Joscelin and Baldwin being captured, but the Antiochenes escaped. As Bohemond left for Europe, Tancred became ruler of Antioch, and he appointed Richard of Salerno as regent. Richard rapidly lost the loyalty of his Armenian subjects and the county's countryside was raided in 1105, 1106, and 1107, marking considerable vulnerability for the county. After passing into the hands of Ilghazi, ruler of Mardin, Joscelin was ransomed for 20,000 dinars in 1107, at which point he began attempting to secure the release of his lord, in the hands of Jawali Saqawa, who demanded.",149,"in may of 1104, Baldwin suffered an invasion from the ruler of mardin and Jikirmish. the antiochenes escaped, but the county is countryside was raided in 1105, 1106, and 1107.",30
23,Web Scrape,"Baldwin demanded the return of Edessa, but Tancred refused as he would not pay homage for it, and "" selfishness blinded him to the fact that, he and Baldwin of Le Bourcq, by taking the side of the rebel Jawali, could deal the Seljukid power a dangerous blow"". Baldwin went to Turbessel and joined with Joscelin, where they then sought assistance from Jawali. After a short skirmish, Tancred, Baldwin, and Joscelin parleyed, but no agreement was met. Later, Baldwin and Joscelin, with a few hundred knights, joined Jawali's army of about 500 Turks and more Bedouins, at Manbij. When Tancred came with his own army, a battle heappend near Turbessel, and Joscelin, Baldwin, and Jawali were defeated. In 1109, King Baldwin I of Jerusalem reconciled the two sides.",128,"Tancred, Baldwin, and Joscelin fought in a battle near Turbessel. the two sides were defeated by the rebels in 1109.",20
24,Web Scrape,"From 1110 to 1112, Baldwin's territory east of the Euphrates was attacked by Mawdud of Mosul. In 1110, Joscelin was sent as a messenger to King Baldwin begging his aid as Mawdud besieged Edessa, a threat that was ultimately defeated. The king besieged Beirut heading northwards, and was assisted by Joscelin. In 1112, Mawdud launched a siege of Edessa, but was repulsed. After the siege failed, Mawdud advanced upon Saruj, then garrisoned by Joscelin, who sallied out and routed Mawdud's army. The Turks then returned to invest Edessa, and Joscelin discovered a plot from the Armenians to overthrow Baldwin, helping him thwart the plan. By 1113, Joscelin had carved out a semi-autonomous state around Turbessel to the west of the Euphrates, while Baldwin's lands around Edessa itself were devastated. Due to fears of another invasion, agricultural workers slackened their work, which was among multiple reasons for a famine in 1113.",150,"king besieged beirut heading northwards, and was assisted by Joscelin. in 1112, mawdud launched a siege of Edessa, but was repulsed. by 1113, Joscelin had carved out a semi-autonomous state around Turbessel.",32
25,Web Scrape,"Joscelin travelled to the Kingdom of Jerusalem, where he was made the prince of Galilee. Around this time, Joscelin had his son, Joscelin II. Joscelin launched frequent and successful raids towards Tyre. Toghtekin of Damascus and Mawdud invaded Jerusalem in the summer of 1113, and after failed negotiations, Baldwin and Joscelin set out to meet him in battle. The Franks were lured out, and defeated at the Battle of Al-Sannabra. However, the Turks did not advance further into Jerusalem, as Baldwin received expected reinforcements from Pons of Tripoli and Roger of Antioch. Little else is known about Joscelin's rule in Galilee and Tiberias. Most of the sources attribute to Joscelin a series of military success against the Turks. He made and approved land grants to the church in 1115 and 1119. King Baldwin I of Jerusalem died in 1118. When the nobles assembled to discuss who should succeed him.",149,the prince of israel was made the prince of galilee. he was a king of the kingdom of Jerusalem. he was a king of the kingdom of Jerusalem.,28
26,Web Scrape,"With Baldwin tied up in Jerusalem, Joscelin was rewarded with the County of Edessa in late August or early September of 1119. To receive the county, Joscelin swore an oath of fealty to the new king. According to Runciman, he delayed his travel to Edessa to defend Galilee, as Edessa was governed by Waleran, Lord of Birejik, but this fighting may have already taken place, and others date Joscelin's journey to Edessa to September 1119. Baldwin recalled his family from Edessa. Joscelin's new crusader state was arranged in a manner similar to feudalism, with lordships in Marash, Saruj, Aintab, Birejik, and other lordships established by his predecessors. Throughout his reign, he would align himself with the Armenian population of the county, winning their support and aid. His accession to Edessa came in the immediate aftermath the Crusader defeat at the Battle of Ager Sanguinis, in which the entire Antiochene.",149,"the county of Edessa was rewarded in late august or early September of 1119. he delayed his travel to defend Galilee, as he was governed by Waleran. he was rewarded with the county in late august or early September of 1119.",41
27,Web Scrape,"Joscelin devastated the Dhahab valley, Manbij, and land east of Aleppo, before being repulsed before Ravenden. Ilghazi of Aleppo took advantage and invaded the county in May of 1120. Joscelin raised an army at Behesni and attacked the Muslim convoy, dealing heavy casualties, but could not prevent Ilghazi from continuing towards Antioch, where he besieged Zardana. Toghtekin of Damascus arrived with reinforcements for the Turks, but Baldwin raised an army and rushed north. He and Joscelin signed a truce with Ilghazi. Believing that he was not obligated by the truce, Joscelin ravaged Naqirah and the Dhahab valley once again, before attacking Bizaah and burning a section of its walls. The citizens paid him off. The Frankish offensive continued in the summer of 1121 and eventually threatened Aleppo itself so severely that Ilghazi offered a truce, sending his son to negotiate for him. With Joscelin present in the parley and.",149,"Ilghazi of Aleppo invaded the county in 1120. he besieged Zardana, who was a muslim convoy. he was able to be a savage.",23
28,Web Scrape,"Belek Ghazi besieged Edessa in late 1122 but was unsuccessful, finding the resistance too stout. As he began to retreat, Waleran requested to Joscelin that they ambush Belek, as he was concerned over his presence in the county. With a hundred knights, the two set out, but Belek lead them to marshy territory near Saruj. The Franks were mired in the bog, and Joscelin was taken prisoner alongside Waleran and dozens of knights on 18 September. Despite his imprisonment, the Edessene knights were able to continue raiding Aleppo. Baldwin II was concerned by these developments, and after assuming government in Edessa, launched a counterattack, seizing Bizaah. However, Baldwin himself was captured on 18 April 1123 while on a campaign against Belek, and joined Joscelin at Kharput. They were rescued by fifty Armenian soldiers hired by Queen Morphia; they disguised themselves as merchants and infiltrated the fortress where the prisoners.",149,"besieged Edessa in late 1122 but was unsuccessful. he was taken prisoner alongside Waleran and dozens of knights. despite his imprisonment, the Edessene knights were able to continue raiding Aleppo.",30
29,Web Scrape,"Joscelin was accompanied by three servants when he made his escape, having to slip past Belek's lines and then cross the Euphrates, supposedly on inflated wineskins. With an Armenian guide, he made his way to Turbessel. He then went to Antioch, but found the principality unable to provide troops, and by August 1123 travelled for Jerusalem. Once there, he appealed for aid, but once an army was assembled, Kharput had already been reclaimed by the Artuqids. Baldwin was moved to Harran. In late 1123 and early 1124, Joscelin made little headway; he laid waste to Aleppo's hinterlands, and repulsed a counterattack at Azaz, while Belek defeated a Frankish force later on. Despite not being able to force Baldwin's release, the Christian pressure convinced Belek to move Baldwin from Harran to Aleppo in February or March of 1124. When Hassan, the governor of Manbij, was captured by Belek's kinsmen in.",149,"he made his way to Turbessel, but found the principality unable to provide troops. by august 1123, he appealed for aid, but once an army was assembled, Kharput had already been reclaimed by the Artuqids.",35
30,Web Scrape,"Belek executed his prisoners from the battle near Manbij and left his cousin Timurtash to besiege the town, but he was killed on May 6 1124 when attempting to relieve Tyre (attacked by the Venetian Crusade), and Timurtash took over his lands. Timurtash then released Baldwin on June 24 on the promise that he would surrender Atarib, Zardana, Azaz, Kafartab, and Jasr, a promise that Baldwin broke in September. On the other hand, Waleran received no ransom, and was executed. Baldwin then formed an alliance with Dubais, the Bedouin emir, and besieged Aleppo. After devastating Bizaah, Joscelin and Dubais joined with Baldwin. The siege lasted four months, but was lifted by Aqsunqur al-Bursuqi, Atabeg of Mosul. He returned to Jerusalem, but Aqsunqur al-Bursuqi, Atabeg of Mosul besieged Azaz, forcing the king to respond. A coalition between Baldwin, Pons, Joscelin, and Mahuis of Duluk was assembled. Baldwin managed to execute.",149,"besieged by king of duluk, he was executed by king. he was killed in the battle near manbij on may 6 1124. he was killed when attempting to relieve Tyre.",30
31,Web Scrape,"During the 1120s, the religious framework of the County of Edessa developed, with grants to the Hospitallers. Joscelin made a grant to the Abbey of Saint Mary of Jehoshaphat and its Abbot Gilduin in 1126, granting the estates of Waleran of Le Puiset, now dead, with the instruction that it should be used for the salvation of his soul. Gilduin was Waleran's brother. Also in 1126, the Franks launched a campaign against Homs and Damascus. The forces of Edessa, Tripoli, and Jerusalem besieged Rafaniya on March 31, and devastated Homs' environs in May. Aqsunqur attempted to besiege Atarib, but Baldwin and Joscelin compelled him to retreat. Aqsunqur was killed by the Assassins on 26 November 1126 and his son was poisoned soon after, causing a succession crisis in Aleppo.",129,"the Assassins besieged Rafaniya on march 31 and devastated Homs' environs in may. aqsunqur was killed by the Assassins on 26 November 1126. his son was poisoned soon after, causing succession crisis in Aleppo.",34
32,Web Scrape,"Fresh conflict broke out in September 1126 when Prince Bohemond II, the son of Bohemond I, sailed to Antioch in September 1126 when the intention of taking up rule, arriving at the Port of St. Simeon in September or November. He had come in response to an invitation sent to him by the Antiochenes during Baldwin's imprisonment, but relations rapidly declined between Bohemond and Joscelin, to the point that Joscelin, with Turkish allies, devastated Antioch in the summer of 1127 and attained their submission. Baldwin rushed towards Antioch to arrange a reconciliation. Joscelin fell severely ill, and seeing it as divine punishment, agreed surrender all his booty before swearing fealty to Bohemond. With recognition of his supremacy from Joscelin and Pons, Bohemond married Alice, Baldwin's daughter, and entered Antioch with an army in late September of 1127.",137,"the conflict broke out when the son of the son of bohemond I sailed to Antioch in September 1126. he had come in response to an invitation sent to him during his imprisonment. relations declined between Bohemond and Joscelin, who devastated Antioch in the summer of 1127.",47
33,Web Scrape,"Taking advantage of the unrest, Joscelin attacked Aleppo in October 1127, hoping to seize the city, but was bought off by the Aleppans. Baldwin capitalised on Toghtekin's death in February 1128 to launch an invasion of Damascus in 1129 alongside Joscelin, Pons, Bohemond, and Baldwin. They obtained the surrender of Baniyas, but soon afterwards became disorganized and were defeated by Taj al-Muluk Buri, Toghtekin's son, at Marj al-Suffar. A new Muslim threat arose in Imad al-Din Zengi, who established effective control of muslim Syria, including Aleppo and Damascus. Zengi's rise was also aided by Frankish disunity from the conflict between Joscelin and Bohemond and internal discontentment within the Kingdom of Jerusalem. Sometime in 1129, conflicts between Mar Athanasius VII, patriarch of the Jacobite Church, and Bar Cabouni, metropolitan of Edessa, came to a head when he went into voluntary exile at Diyarbakır. Mar Athanasius came to regret his decision.",149,"toghtekin attacked Aleppo in 1127, hoping to seize the city. the attack was carried out by the Aleppans. the attack was aided by Frankish disunity from the conflict.",28
34,Web Scrape,"Bohemond died in February of 1130 in an ambush against the Danishmendids, and his wife, Alice, soon began plotting to take over the regency of their daughter, Constance. To enact her plan, she sought aid from Zengi, but her messenger was captured, and when interrogated by the king, confessed completely. Baldwin rushed to Antioch, and the citizens broke Alice's orders to forbid him entry, with Baldwin entering alongside Fulk, who was the king's son-in-law, and Joscelin. Alice was expelled from Antioch and Joscelin was granted rule of the principality until Constance married. Zengi launched a campaign in the spring of 1130 in which he besieged Atarib, and the crusaders' relief effort was soundly defeated. After capturing the fortress, he progressed towards Harim, but was bought off by the citizens of the town, who offered him half of their revenue. Joscelin launched attacks against the territory north of Aleppo, and.",149,constance was expelled from antioch and the king was granted rule of the principality until constance married. the citizens of the town offered him half of their revenue.,28
